simulation_number,Raw influent flow,Final effluent flow,Wastage flow,Total cycle flow,External recycle flow,Split internal ratio,Internal recycle flow
1841,17784.290876723364,17518.084760077127,266.20611664622726,37663.75202259511,1128.6150372613047,0.4978485981700721,18750.84618361521
1842,2753.6568930083613,2159.7973106419886,593.8595823663733,16997.000474483877,11352.092454070922,0.1701036102659395,2891.2511478854644
1843,3358.5523830294837,3062.508875932706,296.043507096774,32148.92486367857,16627.689322573413,0.3783231707373777,12162.683209788906
1844,19786.118822822125,19067.236733047797,718.8820897743232,24544.39246488034,2938.854563927653,0.07412768946219768,1819.41910464004
1845,18126.519240920206,17836.95325818944,289.5659827307624,65698.91102656268,15434.720584581173,0.489165965837191,32137.67132967237
1846,19493.396884360296,19128.19720438437,365.19967997591596,35602.384414158645,5185.119349659564,0.30682967996370714,10923.868231500457
1847,15127.25893235036,14618.218803591168,509.04012875918164,21910.171902793812,2870.0757339180473,0.17858542031505678,3912.837263199114
1848,11098.99934104395,10345.240018877596,753.759322166336,44393.29065945491,11330.127993277973,0.4947631284649618,21964.16341299926
1849,18851.928306598566,18751.099477468764,100.82882912978202,47689.09535287983,5967.798502140338,0.47955131928181965,22869.368635771636
1850,18861.77441083205,18244.896624624085,616.877786207955,24305.782875245244,3186.4319097075886,0.09288228199021165,2257.57658150012
1851,4306.8179620861865,3712.2046297883644,594.6133322978203,21724.46464168065,16587.079840040788,0.03823186784932832,830.5668621417234
1852,3172.7157655128694,2897.324416785565,275.39134872730403,34344.77141807711,17818.84982291642,0.3887987985549448,13353.205885840063
1853,5691.874565049205,4923.796692967826,768.0778720813785,8606.014873958306,2449.570737186279,0.05398196344449959,464.5695808199157
1854,4407.200005150709,4217.7280639013115,189.47194124939105,22635.01775295676,13724.4606840993,0.19895531496782257,4503.35709196362
1855,16525.15899532718,15919.304511161732,605.8544841654232,38454.39942964243,11812.607340936453,0.2630812932169948,10116.63314556148
1856,7183.421935617231,6812.976805486129,370.4451301311006,19167.317646350046,9164.654047062315,0.14708587476112883,2819.24168614324
1857,19449.061296145173,19063.38907373671,385.6722224084495,39305.0461756875,17498.18168641966,0.05998729073841304,2357.8032349359814
1858,16649.628409924768,16139.32995880407,510.29845112067954,41922.001059331444,19559.11233581554,0.1362831022170737,5713.260362127877
1859,19334.424093095935,19246.632888555047,87.79120454084878,37201.2817066803,9014.68954779443,0.23795330958722372,8852.16811460752
1860,16467.806527254113,16112.995924049243,354.8106032048655,39435.64519911901,12609.752307714642,0.2626579672092521,10358.086417633765
1861,8144.230451283143,7804.767102617954,339.4633486651826,14731.473445860329,1664.4823715084613,0.3341662092316731,4922.7606451935735
1862,15113.991593297498,14602.94141489467,511.05017840281374,34584.95263573148,4777.1424837837585,0.42486160811029244,14693.818618783484
1863,15684.704626542509,15271.750257107804,412.9543694347029,24417.661835305724,7928.388691635036,0.03295026964385711,804.568542377825
1864,5967.382909818519,5747.811857256325,219.5710525621813,24163.940466446937,12751.95491318747,0.22531932137330998,5444.6026746330745
1865,9428.456123711441,8833.200905764772,595.2552179466642,24861.345649367137,8685.095510810504,0.2714170879917076,6747.794048968062
1866,19484.89780116748,19266.82488369065,218.0729174768168,25154.895336644408,4900.625128908583,0.03058539586139557,769.3724325168891
1867,8611.079353885167,8143.463521880954,467.6158320042133,24400.177856046328,13737.12190485444,0.08409678953214761,2051.976623947283
1868,15326.418284812773,14911.82252579186,414.59575902090023,40340.49710358258,11180.159994783919,0.3429288149029232,13833.918885380292
1869,11272.13774118076,11073.587691546403,198.550049634356,19396.298391325745,6609.589625083047,0.0780855714787091,1514.5710461010906
1870,14738.925180212404,14071.208656055114,667.7165241572878,30239.24413958764,14806.186442372407,0.02295469238708087,694.1325479525127
1871,10634.140178250535,10261.495767357268,372.64441089325254,19054.271835939508,8417.459961376637,0.00014021608328098668,2.6717153692787403
1872,6856.507036437387,6528.354784283856,328.1522521535249,17504.333637128864,8522.126846389277,0.12143848579860589,2125.6997742260546
1873,4601.834490475335,4097.077924255977,504.75656621935536,9941.253334257142,4748.076861666276,0.05948364579132536,591.3419926855257
1874,12982.245621384911,12677.814911160054,304.43071022484884,57597.506717796445,16528.279111215154,0.48764232417920933,28086.982097612956
1875,3830.322610971612,3583.038846075806,247.28376489580234,27007.19060906831,18896.20038940641,0.15850103395279255,4280.667640784428
1876,19337.879671636976,18971.364579241097,366.5150923958771,28729.959691545457,9133.054774803679,0.009015859284723862,259.0252740961442
